ppm,700K,720K,740K,760K,780K,800K,820K,840K,860K,880K,900K,,
23.42342342,0.005918577,0.005895518,0.005872412,0.005849455,0.00582665,0.005804004,0.005781519,0.0057592,0.005737049,0.005715069,0.005693262,,0.005804309
23.57357357,0.005958505,0.005935334,0.005912117,0.005889048,0.005866132,0.005843374,0.005820778,0.005798348,0.005776086,0.005753996,0.00573208,,0.005843679
23.72372372,0.005998861,0.005975579,0.005952249,0.005929067,0.005906039,0.005883169,0.005860461,0.005837919,0.005815546,0.005793345,0.005771318,,0.005883475
23.87387387,0.006039651,0.006016257,0.005992814,0.005969519,0.005946378,0.005923395,0.005900575,0.00587792,0.005855435,0.005833122,0.005810984,,0.005923701
24.02402402,0.006080882,0.006057376,0.006033818,0.006010409,0.005987154,0.005964058,0.005941124,0.005918357,0.005895759,0.005873333,0.005851083,,0.005964365
24.17417417,0.00612256,0.00609894,0.006075268,0.006051745,0.006028375,0.006005165,0.005982117,0.005959235,0.005936523,0.005913984,0.005891621,,0.006005471
24.32432432,0.006164691,0.006140958,0.00611717,0.006093531,0.006070047,0.006046721,0.006023558,0.006000562,0.005977735,0.005955082,0.005932604,,0.006047028
24.47447447,0.006207283,0.006183435,0.006159531,0.006135776,0.006112175,0.006088734,0.006065455,0.006042343,0.006019401,0.005996633,0.005974041,,0.006089041
24.62462462,0.006250341,0.006226378,0.006202357,0.006178485,0.006154768,0.006131209,0.006107814,0.006084586,0.006061528,0.006038644,0.006015935,,0.006131517
24.77477477,0.006293873,0.006269793,0.006245655,0.006221666,0.006197831,0.006174155,0.006150642,0.006127297,0.006104122,0.006081121,0.006058296,,0.006174463
24.92492492,0.006337886,0.006313689,0.006289433,0.006265325,0.006241372,0.006217577,0.006193946,0.006170483,0.00614719,0.006124071,0.006101129,,0.006217885
25.07507508,0.006382386,0.006358072,0.006333696,0.006309469,0.006285397,0.006261484,0.006237734,0.006214151,0.00619074,0.006167502,0.006144442,,0.006261792
25.22522523,0.006427381,0.006402948,0.006378453,0.006354106,0.006329914,0.006305881,0.006282011,0.006258309,0.006234778,0.006211421,0.006188241,,0.006306189
