ppm,600K,640K,680K,720K,760K,800K,840K,880K,920K,960K,1000K,,
15.31531532,0.004356981,0.004320468,0.004284308,0.004248378,0.004212464,0.004177052,0.004142166,0.004107828,0.004073855,0.004040203,0.004007147,,0.004177929
15.46546547,0.004380762,0.004344089,0.004307772,0.004271687,0.004235619,0.004200056,0.004165023,0.00413054,0.004096424,0.00406263,0.004029435,,0.004200939
15.61561562,0.004404767,0.004367934,0.004331459,0.004295218,0.004258994,0.004223279,0.004188096,0.004153466,0.004119206,0.004085269,0.004051934,,0.004224167
15.76576577,0.004428998,0.004392004,0.00435537,0.004318971,0.004282591,0.004246722,0.004211388,0.004176611,0.004142204,0.004108123,0.004074647,,0.004247615
15.91591592,0.004453459,0.004416302,0.004379508,0.00434295,0.004306412,0.004270387,0.004234902,0.004199975,0.004165421,0.004131194,0.004097575,,0.004271285
16.06606607,0.004478151,0.00444083,0.004403874,0.004367157,0.00433046,0.004294278,0.004258639,0.004223562,0.004188859,0.004154485,0.004120721,,0.004295181
16.21621622,0.004503077,0.004465591,0.004428473,0.004391595,0.004354736,0.004318397,0.004282602,0.004247373,0.00421252,0.004177997,0.004144087,,0.004319304
16.36636637,0.004528239,0.004490587,0.004453305,0.004416264,0.004379243,0.004342745,0.004306794,0.004271412,0.004236407,0.004201734,0.004167677,,0.004343657
16.51651652,0.00455364,0.00451582,0.004478373,0.004441169,0.004403985,0.004367326,0.004331217,0.00429568,0.004260522,0.004225697,0.004191492,,0.004368243
16.66666667,0.004579282,0.004541294,0.00450368,0.004466312,0.004428963,0.004392142,0.004355874,0.00432018,0.004284869,0.004249891,0.004215535,,0.004393064
16.81681682,0.004605168,0.00456701,0.004529229,0.004491694,0.004454179,0.004417195,0.004380767,0.004344916,0.004309448,0.004274316,0.004239809,,0.004418122
16.96696697,0.004631299,0.004592971,0.004555022,0.00451732,0.004479638,0.004442489,0.004405899,0.004369889,0.004334264,0.004298976,0.004264316,,0.00444342
17.11711712,0.00465768,0.00461918,0.004581061,0.004543191,0.00450534,0.004468025,0.004431273,0.004395102,0.004359319,0.004323873,0.004289059,,0.004468961
17.26726727,0.004684312,0.004645639,0.00460735,0.00456931,0.004531289,0.004493808,0.004456891,0.004420559,0.004384615,0.004349011,0.004314041,,0.004494748
17.41741742,0.004711199,0.004672352,0.004633891,0.00459568,0.004557489,0.004519838,0.004482756,0.004446261,0.004410156,0.004374392,0.004339264,,0.004520783
17.56756757,0.004738343,0.004699321,0.004660687,0.004622304,0.00458394,0.00454612,0.004508871,0.004472212,0.004435944,0.004400018,0.004364732,,0.00454707
17.71771772,0.004765747,0.004726549,0.004687741,0.004649185,0.004610647,0.004572657,0.004535239,0.004498414,0.004461982,0.004425894,0.004390447,,0.00457361
17.86786787,0.004793413,0.004754039,0.004715055,0.004676325,0.004637613,0.00459945,0.004561862,0.004524871,0.004488274,0.004452021,0.004416413,,0.004600408
18.01801802,0.004821346,0.004781794,0.004742634,0.004703728,0.00466484,0.004626503,0.004588745,0.004551585,0.004514821,0.004478402,0.004442632,,0.004627465
18.16816817,0.004849548,0.004809816,0.004770479,0.004731397,0.004692331,0.00465382,0.004615889,0.00457856,0.004541628,0.004505042,0.004469107,,0.004654786
18.31831832,0.004878022,0.00483811,0.004798594,0.004759335,0.00472009,0.004681403,0.004643299,0.004605798,0.004568697,0.004531942,0.004495842,,0.004682373
18.46846847,0.004906771,0.004866678,0.004826983,0.004787544,0.00474812,0.004709255,0.004670976,0.004633304,0.004596031,0.004559107,0.004522839,,0.004710229
18.61861862,0.004935799,0.004895523,0.004855647,0.004816028,0.004776424,0.00473738,0.004698925,0.004661079,0.004623634,0.004586538,0.004550102,,0.004738358
18.76876877,0.004965108,0.00492465,0.004884591,0.004844791,0.004805004,0.004765781,0.004727148,0.004689127,0.004651509,0.00461424,0.004577634,,0.004766762
18.91891892,0.004994702,0.00495406,0.004913819,0.004873836,0.004833866,0.004794461,0.00475565,0.004717452,0.004679659,0.004642216,0.004605439,,0.004795446
19.06906907,0.005024585,0.004983757,0.004943332,0.004903166,0.004863011,0.004823424,0.004784432,0.004746057,0.004708088,0.004670469,0.004633519,,0.004824413
19.21921922,0.00505476,0.005013745,0.004973135,0.004932785,0.004892444,0.004852673,0.0048135,0.004774946,0.004736798,0.004699003,0.004661878,,0.004853665
19.36936937,0.00508523,0.005044028,0.005003232,0.004962695,0.004922167,0.004882211,0.004842855,0.004804122,0.004765795,0.004727821,0.004690521,,0.004883207
19.51951952,0.005115999,0.005074609,0.005033625,0.004992902,0.004952185,0.004912043,0.004872503,0.004833588,0.00479508,0.004756927,0.004719449,,0.004913042
19.66966967,0.005147071,0.005105491,0.005064319,0.005023407,0.004982501,0.004942172,0.004902446,0.004863348,0.004824658,0.004786324,0.004748668,,0.004943174
19.81981982,0.005178449,0.005136679,0.005095318,0.005054216,0.005013119,0.004972601,0.004932689,0.004893406,0.004854533,0.004816016,0.00477818,,0.004973607
19.96996997,0.005210138,0.005168176,0.005126624,0.005085332,0.005044043,0.005003334,0.004963234,0.004923766,0.004884708,0.004846007,0.004807989,,0.005004343
20.12012012,0.00524214,0.005199986,0.005158242,0.005116758,0.005075276,0.005034376,0.004994087,0.004954431,0.004915187,0.0048763,0.004838099,,0.005035388
20.27027027,0.005274461,0.005232113,0.005190176,0.005148499,0.005106822,0.005065729,0.00502525,0.004985406,0.004945974,0.0049069,0.004868515,,0.005066745
20.42042042,0.005307103,0.00526456,0.00522243,0.005180559,0.005138686,0.005097399,0.005056727,0.005016694,0.004977073,0.00493781,0.004899239,,0.005098417
20.57057057,0.005340072,0.005297333,0.005255007,0.005212942,0.005170871,0.005129389,0.005088524,0.005048299,0.005008488,0.004969035,0.004930277,,0.00513041
20.72072072,0.00537337,0.005330435,0.005287913,0.005245651,0.005203382,0.005161703,0.005120644,0.005080226,0.005040223,0.005000579,0.004961631,,0.005162727
20.87087087,0.005407003,0.00536387,0.005321151,0.005278691,0.005236223,0.005194346,0.00515309,0.005112479,0.005072283,0.005032445,0.004993307,,0.005195373
21.02102102,0.005440975,0.005397643,0.005354726,0.005312067,0.005269398,0.005227322,0.005185868,0.005145061,0.005104671,0.005064639,0.005025308,,0.005228351
21.17117117,0.00547529,0.005431758,0.005388641,0.005345782,0.005302911,0.005260634,0.005218982,0.005177978,0.005137392,0.005097164,0.00505764,,0.005261666
21.32132132,0.005509953,0.00546622,0.005422902,0.005379842,0.005336767,0.005294288,0.005252436,0.005211234,0.00517045,0.005130024,0.005090305,,0.005295323
21.47147147,0.005544967,0.005501032,0.005457513,0.005414251,0.005370971,0.005328289,0.005286235,0.005244833,0.00520385,0.005163225,0.005123309,,0.005329325
21.62162162,0.005580339,0.005536201,0.005492479,0.005449012,0.005405526,0.00536264,0.005320383,0.00527878,0.005237596,0.005196771,0.005156657,,0.005363678
21.77177177,0.005616072,0.005571729,0.005527803,0.005484132,0.005440439,0.005397346,0.005354885,0.00531308,0.005271693,0.005230666,0.005190352,,0.005398387
21.92192192,0.005652171,0.005607623,0.005563492,0.005519615,0.005475713,0.005432413,0.005389746,0.005347737,0.005306147,0.005264915,0.0052244,,0.005433456
22.07207207,0.005688641,0.005643887,0.00559955,0.005555465,0.005511353,0.005467844,0.00542497,0.005382756,0.00534096,0.005299524,0.005258805,,0.005468889
22.22222222,0.005725487,0.005680526,0.005635981,0.005591688,0.005547365,0.005503646,0.005460563,0.005418142,0.00537614,0.005334496,0.005293573,,0.005504692
22.37237237,0.005762715,0.005717545,0.005672792,0.005628289,0.005583753,0.005539823,0.00549653,0.0054539,0.00541169,0.005369838,0.005328708,,0.005540871
22.52252252,0.005800329,0.00575495,0.005709987,0.005665273,0.005620523,0.00557638,0.005532875,0.005490036,0.005447615,0.005405553,0.005364215,,0.005577429
22.67267267,0.005838334,0.005792745,0.005747571,0.005702645,0.005657679,0.005613322,0.005569605,0.005526553,0.005483922,0.005441648,0.0054001,,0.005614373
22.82282282,0.005876737,0.005830936,0.00578555,0.005740411,0.005695228,0.005650655,0.005606723,0.005563459,0.005520614,0.005478127,0.005436368,,0.005651707
22.97297297,0.005915542,0.005869528,0.005823929,0.005778575,0.005733174,0.005688384,0.005644236,0.005600758,0.005557699,0.005514996,0.005473024,,0.005689438
23.12312312,0.005954755,0.005908527,0.005862714,0.005817144,0.005771524,0.005726515,0.00568215,0.005638455,0.00559518,0.005552261,0.005510074,,0.00572757
23.27327327,0.005994381,0.005947939,0.00590191,0.005856123,0.005810282,0.005765053,0.005720469,0.005676557,0.005633064,0.005589926,0.005547523,,0.005766109
23.42342342,0.006034428,0.005987769,0.005941523,0.005895518,0.005849455,0.005804004,0.0057592,0.005715069,0.005671356,0.005627998,0.005585377,,0.005805061
23.57357357,0.006074899,0.006028023,0.00598156,0.005935334,0.005889048,0.005843374,0.005798348,0.005753996,0.005710062,0.005666482,0.005623641,,0.005844432
23.72372372,0.006115802,0.006068708,0.006022025,0.005975579,0.005929067,0.005883169,0.005837919,0.005793345,0.005749189,0.005705385,0.005662322,,0.005884227
23.87387387,0.006157142,0.006109829,0.006062926,0.006016257,0.005969519,0.005923395,0.00587792,0.005833122,0.005788741,0.005744712,0.005701425,,0.005924454
24.02402402,0.006198925,0.006151392,0.006104268,0.006057376,0.006010409,0.005964058,0.005918357,0.005873333,0.005828726,0.00578447,0.005740958,,0.005965117
24.17417417,0.006241159,0.006193404,0.006146057,0.00609894,0.006051745,0.006005165,0.005959235,0.005913984,0.005869149,0.005824664,0.005780925,,0.006006224
24.32432432,0.006283849,0.006235872,0.006188301,0.006140958,0.006093531,0.006046721,0.006000562,0.005955082,0.005910017,0.005865302,0.005821333,,0.00604778
24.47447447,0.006327002,0.006278801,0.006231006,0.006183435,0.006135776,0.006088734,0.006042343,0.005996633,0.005951337,0.005906388,0.005862189,,0.006089793
24.62462462,0.006370625,0.006322199,0.006274177,0.006226378,0.006178485,0.006131209,0.006084586,0.006038644,0.005993114,0.005947931,0.005903499,,0.006132268
24.77477477,0.006414725,0.006366073,0.006317824,0.006269793,0.006221666,0.006174155,0.006127297,0.006081121,0.006035357,0.005989937,0.005945269,,0.006175213
24.92492492,0.006459308,0.006410429,0.006361951,0.006313689,0.006265325,0.006217577,0.006170483,0.006124071,0.00607807,0.006032413,0.005987508,,0.006218635
25.07507508,0.006504381,0.006455274,0.006406566,0.006358072,0.006309469,0.006261484,0.006214151,0.006167502,0.006121263,0.006075365,0.006030222,,0.006262541
25.22522523,0.006549952,0.006500616,0.006451677,0.006402948,0.006354106,0.006305881,0.006258309,0.006211421,0.006164941,0.006118801,0.006073417,,0.006306937
25.37537538,0.006596029,0.006546463,0.006497291,0.006448326,0.006399244,0.006350777,0.006302963,0.006255835,0.006209112,0.006162728,0.006117101,,0.006351832
25.52552553,0.006642618,0.00659282,0.006543415,0.006494214,0.006444888,0.006396178,0.006348122,0.00630075,0.006253784,0.006207154,0.006161282,,0.006397232
25.67567568,0.006689728,0.006639698,0.006590058,0.006540618,0.006491048,0.006442093,0.006393792,0.006346176,0.006298964,0.006252086,0.006205967,,0.006443146
